baeR	mdtC	+
baeR	mdtB	+
baeR	mdtA	+
baeR	spy	+
baeR	mdtD	+
baeR	baeR	+
baeR	baeS	+
baeR	acrD	+
cpxR	yjeP	-
cpxR	cpxP	+
cpxR	cpxR	+
cpxR	aroG	+
cpxR	cheA	-
cpxR	cheW	-
cpxR	cpxA	+
cpxR	lpxD	+
cpxR	hha	+
cpxR	hlpA	+
cpxR	degP	+
cpxR	lpxA	+
cpxR	motA	-
cpxR	motB	-
cpxR	ompC	+
cpxR	ompF	-
cpxR	psd	-
cpxR	smpA	-
cpxR	tsr	-
cpxR	ung	-
cpxR	dsbC	+
cpxR	yccA	+
cpxR	fabZ	+
cpxR	dsbA	+
cpxR	csgA	-
cpxR	baeS	+
cpxR	baeR	+
cpxR	ydeH	+
cpxR	bacA	+
cpxR	yidQ	+
cpxR	yebE	+
cpxR	rdoA	+
cpxR	rpoE	-
cpxR	mdtD	+
cpxR	rseA	-
cpxR	tomB	+
cpxR	ppiD	+
cpxR	csgG	-
cpxR	csgF	-
cpxR	csgE	-
cpxR	csgD	-
cpxR	csgB	-
cpxR	csgC	-
cpxR	ycfS	+
cpxR	spy	+
cpxR	ftnB	+
cpxR	mdtA	+
cpxR	mdtB	+
cpxR	mdtC	+
cpxR	rseC	-
cpxR	rseB	-
cpxR	yqjA	+
cpxR	mzrA	+
cpxR	acrD	+
csgD	csgF	+
csgD	csgG	+
csgD	csgD	+
csgD	csgB	+
csgD	csgC	+
csgD	csgE	+
csgD	csgA	+
csgD	adrA	+
csgD	iraP	+
csgD	pepD	-
envY	ompF	+
envY	ompC	+
evgA	mdtF	+
evgA	ydeO	+
evgA	mdtE	+
evgA	evgA	+
evgA	acrD	+
evgA	gadE	+
gadE	rcsA	+
gadE	fabZ	+
gadE	gadB	+
gadE	gadE	+
gadE	mdtE	+
gadE	mdtF	+
gadE	gadW	+
gadE	gadX	+
gadE	gadC	+
gadE	cyoA	+
gadE	cyoB	+
gadE	cyoC	+
gadE	cyoD	+
gadE	cyoE	+
gadE	lpxD	+
gadE	hlpA	+
gadE	lpxA	+
gadW	mdtE	+
gadW	mdtF	+
gadW	gadW	-
gadW	gadX	-
gadW	gadC	-
gadW	gadB	-
gadW	gadE	+
gadX	gadE	+
gadX	gadB	+
gadX	gadC	+
gadX	mdtE	+
gadX	mdtF	+
gadX	gadX	+
gadX	gadW	-
ompR	csgD	+
ompR	tppB	+
ompR	csgF	+
ompR	csgG	+
ompR	ecnB	-
ompR	omrB	+
ompR	omrA	+
ompR	sra	-
ompR	ompF	+-
ompR	ompC	+
ompR	csgE	+
pdhR	tomB	-
pdhR	cyoA	-
pdhR	cyoB	-
pdhR	cyoC	-
pdhR	cyoD	-
pdhR	cyoE	-
pdhR	hha	-
pdhR	pdhR	-
rcsA	ftsA	+
rcsA	ftsZ	+
rcsA	osmB	+
rcsA	osmC	+
rcsA	rcsA	+
rcsA	sra	+
rcsA	yjbE	+
rcsA	yjbF	+
rcsA	yjbG	+
rcsA	yjbH	+
rcsA	rprA	+
rcsA	csgG	-
rcsA	csgF	-
rcsA	csgE	-
rcsA	csgD	-
rcsA	bdm	+
rcsA	wcaB	+
rcsA	wcaA	+
rcsA	wzc	+
rcsB	wza	+
rcsA	wza	+
rcsB	ftsA	+
rcsB	ftsZ	+
rcsB	osmB	+
rcsB	osmC	+
rcsB	rcsA	+
rcsB	sra	+
rcsB	yjbE	+
rcsB	yjbF	+
rcsB	yjbG	+
rcsB	yjbH	+
rcsB	rprA	+
rcsB	csgG	-
rcsB	csgF	-
rcsB	csgE	-
rcsB	csgD	-
rcsB	bdm	+
rcsB	wcaB	+
rcsB	wcaA	+
rcsB	wzc	+
rcsB	wzb	+
rcsA	wzb	+
rstA	ompF	-
rstA	csgD	-
rstA	csgE	-
rstA	csgF	-
rstA	csgG	-
sdiA	ydiV	+
sdiA	ftsZ	-
sdiA	ftsQ	+-
sdiA	ftsA	-
ydeO	mdtF	+
ydeO	mdtE	+
ydeO	gadE	+
