Aebp2	Jarid2
Aes	Ihh
Aire	Bmp2
Aire	F11
Alx4	Fgf10
Ankrd1	Myl2
Ankrd1	Nppa
Apbb1	Lrp1
Apbb1	Notch1
Apex1	Apod
Apex1	Blk
Apex1	Pax5
Apex1	Ptgs2
Apex1	Tlr4
Ar	Ccr2
Ar	Cga
Ar	Fkbp5
Ar	Klkb1
Ar	Nkx3-1
Ar	Psat1
Ar	Runx2
Ar	Scnn1a
Ar	rsl
Arl6ip5	Parp1
Arl6ip5	Xrcc1
Arntl2	Thbd
Ascl1	Bub1
Ascl1	Cdkn2d
Ascl1	Dll3
Ascl1	Dll4
Ascl1	Hes5
Ascl1	Pdgfra
Ascl1	Phox2a
Ascl1	Rnd3
Ascl1	Tph2
Ash1l	Tgfb1
Ash1l	Timp1
Asxl1	Fabp4
Atf1	Hspa5
Atf1	Nudt1
Atf1	Thbs1
Atf6	Hspa5
Atf6	Wbp1
Atoh1	Barhl1
Atoh1	Hes6
Atoh1	Nr2f6
Atoh1	Pou4f3
Barx2	Acta2
Barx2	L1cam
Barx2	Pax1
Bcl11a	Frzb
Bmi1	Cdkn2d
Bmi1	Dkk1
Bmi1	Hmga2
Bmi1	Ikzf1
Bmp4	Chst11
Bmp6	Mycn
Brca1	Akt1
Brca1	Hmga2
Brca1	Mad2l1
Brca1	Rad51
Brca1	Sirt1
Brca1	Tpt1
Bub3	Apod
Chd4	Cd4
Chd4	Id2
Chd4	Ngfr
Chd7	Jag1
Chd7	Mycn
Chd8	Brca1
Chd8	Tcf4
Cited2	Fgf9
Cited2	Ldhb
Cited2	Ldhd
Cited2	Mmp9
Cited2	Pdk2
Cited2	Pdk4
Cited2	Pparg
Cited2	Smad3
Cops5	Hand2
Creb3l3	Smurf1
Crebzf	Adipoq
Crem	Ren1
Crx	Fam161a
Crx	Kcnv2
Crx	Nr2e3
Crx	Pde6a
Crx	Pde6b
Crx	Rbp3
Crx	Rho
Crx	Rs1
Crx	Sag
Crx	Samd11
Crx	Samd7
Ctf1	Tgfb1
Ddit3	Nos3
Dlx3	Bglap
Dlx3	Dspp
Dlx3	Hsd3b6
Dlx3	Mmp9
Dlx3	Pgf
Dlx3	Runx2
Dlx5	Alpl
Dlx5	Dspp
Dlx5	Ibsp
Dlx5	Runx2
Dlx5	Sp7
Dlx5	Wnt5a
Dmap1	Bmi1
Dmbx1	Crx
Dmbx1	Otx1
Dnajc2	Id1
Dot1l	Scnn1a
Dtx1	Smarcc1
E2f4	Brca1
E2f4	Fgf2
E2f4	Map1lc3b
E2f4	Mycn
E2f4	Plk4
E2f4	Rad51
E2f4	Stmn1
Ebf1	Blk
Ebf1	Cd79a
Ebf1	Igll1
Ebf1	Omp
Ebf1	Pax5
Ebf1	Pparg
Ebf1	Tac4
Ebf1	Zfp423
Ebf1	Zfp521
Edn1	Ren1
Egr1	Ache
Egr1	Bnip3
Egr1	Cacna1h
Egr1	Cat
Egr1	Ccl2
Egr1	Cdk5r1
Egr1	Cdkn1c
Egr1	Cdkn2d
Egr1	Chrna7
Egr1	Eno1
Egr1	Epo
Egr1	F3
Egr1	Fgf2
Egr1	Gadd45b
Egr1	Ggps1
Egr1	Hsd11b2
Egr1	Icam1
Egr1	Id3
Egr1	Ifngr1
Egr1	Igf1r
Egr1	Il2
Egr1	Itga7
Egr1	Itgb6
Egr1	Lhb
Egr1	Ltb
Egr1	Map1lc3b
Egr1	Mapk14
Egr1	Mapk8
Egr1	Met
Egr1	Mmp14
Egr1	Mmp9
Egr1	Ndrg1
Egr1	Ngb
Egr1	Ngfr
Egr1	Nr4a1
Egr1	Ntrk1
Egr1	Pnmt
Egr1	Ppp1r1b
Egr1	Ptges
Egr1	Ptges2
Egr1	Ptprz1
Egr1	Rcan1
Egr1	Serpine1
Egr1	Smad7
Egr1	Socs1
Egr1	Syn2
Egr1	Tgfbr2
Egr1	Th
Egr1	Thbs1
Egr1	Tk1
Egr2	Cbl
Egr2	Fasl
Egr2	Hoxa2
Egr2	Hoxb1
Egr2	Hoxb2
Egr2	Id2
Egr2	Id4
Egr2	Il2rb
Egr2	Mpz
Egr2	Nab1
Egr2	Nab2
Egr2	Ncmap
Egr3	Fasl
Egr3	Ifngr1
Egr3	Ngfr
Ehf	Tlr11
Elf2	Cd3d
Elf3	Angpt1
Elf3	Tgfb1
Elf3	Tgfbr2
Elf3	Tlr11
Elf4	Bglap
Elf4	Dlx5
Elf4	Mab21l1
Elf4	Msx2
