,ffl-nodes,sparsity,in-degree,out-degree,network,size,rep
0,231,2.166,1.033,1.133,gnw,500,0
1,364,2.255,1.115,1.139,gnw,500,1
2,216,2.146,1.022,1.124,gnw,500,2
3,276,2.306,1.096,1.21,gnw,500,3
4,405,2.454,1.163,1.291,gnw,500,4
5,422,2.898,1.359,1.539,gnw,500,5
6,412,2.488,1.17,1.318,gnw,500,6
7,321,2.382,1.112,1.27,gnw,500,7
8,294,2.228,1.029,1.199,gnw,500,8
9,285,2.328,1.129,1.199,gnw,500,9
10,372,2.16,1.019,1.141,gnw,750,0
11,342,2.164,1.025,1.139,gnw,750,1
12,307,2.1,1.003,1.097,gnw,750,2
13,325,2.141,1.024,1.118,gnw,750,3
14,337,2.151,1.039,1.112,gnw,750,4
15,544,2.236,1.073,1.163,gnw,750,5
16,373,2.227,1.08,1.146,gnw,750,6
17,341,2.124,0.994,1.13,gnw,750,7
18,472,2.236,1.064,1.172,gnw,750,8
19,296,1.976,0.897,1.079,gnw,750,9
20,404,2.133,1.019,1.114,gnw,1000,0
21,426,2.101,0.995,1.106,gnw,1000,1
22,374,2.019,0.962,1.057,gnw,1000,2
23,567,2.145,1.031,1.114,gnw,1000,3
24,291,1.877,0.907,0.97,gnw,1000,4
25,427,2.119,1.01,1.109,gnw,1000,5
26,398,2.094,1.001,1.093,gnw,1000,6
27,424,2.112,0.997,1.115,gnw,1000,7
28,390,2.076,0.985,1.091,gnw,1000,8
29,385,2.094,0.997,1.097,gnw,1000,9
30,483,2.047,0.957,1.09,gnw,1500,0
31,484,2.061,0.982,1.079,gnw,1500,1
32,482,2.054,0.981,1.073,gnw,1500,2
33,480,2.055,0.969,1.085,gnw,1500,3
34,723,2.188,1.037,1.151,gnw,1500,4
35,491,2.06,0.977,1.083,gnw,1500,5
36,803,2.205,1.044,1.162,gnw,1500,6
37,475,2.079,0.988,1.091,gnw,1500,7
38,513,2.069,0.987,1.082,gnw,1500,8
39,754,2.155,1.029,1.125,gnw,1500,9
40,137,2.942,1.425,1.517,networkx,500,0
41,288,2.942,1.421,1.521,networkx,500,1
42,255,2.942,1.437,1.505,networkx,500,2
43,160,2.942,1.382,1.56,networkx,500,3
44,161,2.942,1.349,1.593,networkx,500,4
45,179,2.942,1.343,1.599,networkx,500,5
46,163,2.942,1.372,1.57,networkx,500,6
47,183,2.942,1.392,1.55,networkx,500,7
48,183,2.942,1.413,1.529,networkx,500,8
49,154,2.942,1.412,1.53,networkx,500,9
50,192,2.943,1.341,1.602,networkx,750,0
51,215,2.943,1.385,1.558,networkx,750,1
52,231,2.943,1.398,1.545,networkx,750,2
53,219,2.943,1.39,1.553,networkx,750,3
54,368,2.943,1.342,1.601,networkx,750,4
55,248,2.943,1.348,1.594,networkx,750,5
56,221,2.943,1.357,1.586,networkx,750,6
57,312,2.943,1.393,1.55,networkx,750,7
58,309,2.943,1.364,1.579,networkx,750,8
59,222,2.943,1.342,1.6,networkx,750,9
60,238,2.943,1.377,1.566,networkx,1000,0
61,286,2.943,1.401,1.542,networkx,1000,1
62,238,2.943,1.36,1.583,networkx,1000,2
63,347,2.943,1.328,1.615,networkx,1000,3
64,351,2.943,1.367,1.576,networkx,1000,4
65,207,2.943,1.39,1.553,networkx,1000,5
66,361,2.943,1.363,1.58,networkx,1000,6
67,327,2.943,1.357,1.586,networkx,1000,7
68,271,2.943,1.357,1.586,networkx,1000,8
69,287,2.943,1.38,1.563,networkx,1000,9
70,302,2.943,1.331,1.612,networkx,1500,0
71,429,2.943,1.366,1.578,networkx,1500,1
72,311,2.943,1.357,1.586,networkx,1500,2
73,232,2.943,1.384,1.56,networkx,1500,3
74,575,2.943,1.344,1.6,networkx,1500,4
75,453,2.943,1.357,1.586,networkx,1500,5
76,326,2.943,1.397,1.546,networkx,1500,6
77,395,2.943,1.374,1.57,networkx,1500,7
78,357,2.943,1.338,1.606,networkx,1500,8
79,318,2.943,1.381,1.562,networkx,1500,9
80,672,2.864,1.18,1.684,fflatt,500,0
81,487,2.958,1.248,1.71,fflatt,500,1
82,543,2.886,1.178,1.708,fflatt,500,2
83,601,2.906,1.2,1.706,fflatt,500,3
84,510,2.866,1.171,1.695,fflatt,500,4
85,358,3.0,1.268,1.732,fflatt,500,5
86,606,2.872,1.185,1.687,fflatt,500,6
87,573,2.884,1.203,1.681,fflatt,500,7
88,435,3.018,1.368,1.65,fflatt,500,8
89,361,3.036,1.299,1.737,fflatt,500,9
90,801,3.032,1.284,1.748,fflatt,750,0
91,566,2.999,1.315,1.683,fflatt,750,1
92,874,2.989,1.274,1.715,fflatt,750,2
93,577,2.925,1.215,1.71,fflatt,750,3
94,781,3.013,1.229,1.784,fflatt,750,4
95,1014,3.036,1.275,1.761,fflatt,750,5
96,822,2.887,1.213,1.674,fflatt,750,6
97,843,2.988,1.204,1.784,fflatt,750,7
98,735,3.011,1.329,1.681,fflatt,750,8
99,679,2.872,1.193,1.679,fflatt,750,9
100,1144,2.885,1.209,1.676,fflatt,1000,0
101,1051,3.026,1.269,1.757,fflatt,1000,1
102,1170,3.042,1.315,1.727,fflatt,1000,2
103,991,2.908,1.177,1.731,fflatt,1000,3
104,1287,2.986,1.231,1.755,fflatt,1000,4
105,1116,2.871,1.183,1.688,fflatt,1000,5
106,1128,3.043,1.272,1.771,fflatt,1000,6
107,1228,2.986,1.219,1.767,fflatt,1000,7
108,1146,2.863,1.179,1.684,fflatt,1000,8
109,780,2.973,1.305,1.668,fflatt,1000,9
110,1600,2.899,1.228,1.67,fflatt,1500,0
111,1954,3.001,1.255,1.745,fflatt,1500,1
112,2065,3.015,1.236,1.779,fflatt,1500,2
113,1807,2.951,1.225,1.726,fflatt,1500,3
114,1216,2.847,1.233,1.614,fflatt,1500,4
115,1823,2.993,1.207,1.786,fflatt,1500,5
116,1589,2.877,1.211,1.666,fflatt,1500,6
117,1801,2.872,1.22,1.652,fflatt,1500,7
118,1472,2.978,1.247,1.731,fflatt,1500,8
119,1405,2.869,1.232,1.636,fflatt,1500,9
