,ffl-nodes,sparsity,in-degree,out-degree,network,size,rep
0,323,2.47,1.171,1.299,gnw,500,0
1,337,2.426,1.189,1.237,gnw,500,1
2,291,2.346,1.125,1.221,gnw,500,2
3,374,2.65,1.255,1.395,gnw,500,3
4,175,2.084,1.014,1.07,gnw,500,4
5,310,2.316,1.147,1.169,gnw,500,5
6,236,2.242,1.074,1.168,gnw,500,6
7,400,2.416,1.13,1.286,gnw,500,7
8,183,2.146,1.039,1.107,gnw,500,8
9,263,2.228,1.1,1.128,gnw,500,9
10,295,2.029,0.971,1.059,gnw,750,0
11,207,1.968,0.929,1.039,gnw,750,1
12,575,2.235,1.071,1.164,gnw,750,2
13,196,1.933,0.918,1.016,gnw,750,3
14,483,2.247,1.086,1.161,gnw,750,4
15,201,1.939,0.922,1.017,gnw,750,5
16,356,2.145,1.007,1.139,gnw,750,6
17,320,2.099,0.96,1.139,gnw,750,7
18,374,2.184,1.03,1.154,gnw,750,8
19,319,2.124,1.019,1.105,gnw,750,9
20,428,2.122,1.009,1.113,gnw,1000,0
21,292,1.922,0.905,1.017,gnw,1000,1
22,403,2.088,0.982,1.106,gnw,1000,2
23,244,1.881,0.899,0.982,gnw,1000,3
24,395,2.098,1.008,1.09,gnw,1000,4
25,425,2.11,1.003,1.107,gnw,1000,5
26,419,2.117,1.006,1.111,gnw,1000,6
27,413,2.054,0.985,1.069,gnw,1000,7
28,327,2.035,0.975,1.06,gnw,1000,8
29,388,2.071,0.979,1.092,gnw,1000,9
30,484,2.066,0.982,1.084,gnw,1500,0
31,493,2.054,0.965,1.089,gnw,1500,1
32,509,2.093,0.991,1.103,gnw,1500,2
33,735,2.143,1.018,1.125,gnw,1500,3
34,423,1.955,0.924,1.031,gnw,1500,4
35,477,2.043,0.973,1.07,gnw,1500,5
36,758,2.204,1.046,1.158,gnw,1500,6
37,511,2.085,0.991,1.094,gnw,1500,7
38,516,2.087,0.993,1.094,gnw,1500,8
39,774,2.182,1.046,1.136,gnw,1500,9
40,178,2.642,1.163,1.479,networkx,500,0
41,134,2.642,1.228,1.414,networkx,500,1
42,197,2.642,1.274,1.368,networkx,500,2
43,138,2.642,1.229,1.413,networkx,500,3
44,89,2.642,1.213,1.429,networkx,500,4
45,117,2.642,1.275,1.367,networkx,500,5
46,178,2.642,1.179,1.463,networkx,500,6
47,188,2.642,1.247,1.395,networkx,500,7
48,105,2.642,1.227,1.415,networkx,500,8
49,140,2.642,1.173,1.469,networkx,500,9
50,187,2.643,1.198,1.444,networkx,750,0
51,173,2.643,1.234,1.409,networkx,750,1
52,238,2.643,1.23,1.413,networkx,750,2
53,145,2.643,1.205,1.438,networkx,750,3
54,206,2.643,1.179,1.464,networkx,750,4
55,216,2.643,1.275,1.367,networkx,750,5
56,146,2.643,1.22,1.422,networkx,750,6
57,183,2.643,1.238,1.405,networkx,750,7
58,189,2.643,1.203,1.44,networkx,750,8
59,141,2.643,1.273,1.37,networkx,750,9
60,239,2.642,1.233,1.409,networkx,1000,0
61,129,2.642,1.234,1.408,networkx,1000,1
62,399,2.642,1.224,1.418,networkx,1000,2
63,272,2.642,1.231,1.411,networkx,1000,3
64,249,2.642,1.24,1.402,networkx,1000,4
65,196,2.642,1.221,1.421,networkx,1000,5
66,198,2.642,1.24,1.402,networkx,1000,6
67,321,2.642,1.235,1.407,networkx,1000,7
68,219,2.642,1.214,1.428,networkx,1000,8
69,189,2.642,1.214,1.428,networkx,1000,9
70,477,2.643,1.209,1.434,networkx,1500,0
71,346,2.643,1.228,1.415,networkx,1500,1
72,313,2.643,1.217,1.426,networkx,1500,2
73,275,2.643,1.223,1.419,networkx,1500,3
74,229,2.643,1.216,1.426,networkx,1500,4
75,225,2.643,1.237,1.406,networkx,1500,5
76,299,2.643,1.242,1.401,networkx,1500,6
77,411,2.643,1.217,1.426,networkx,1500,7
78,280,2.643,1.248,1.394,networkx,1500,8
79,333,2.643,1.247,1.395,networkx,1500,9
80,400,2.676,1.126,1.55,fflatt,500,0
81,486,2.668,1.173,1.495,fflatt,500,1
82,402,2.682,1.11,1.572,fflatt,500,2
83,442,2.65,1.09,1.56,fflatt,500,3
84,402,2.682,1.11,1.572,fflatt,500,4
85,442,2.65,1.09,1.56,fflatt,500,5
86,282,2.648,1.135,1.513,fflatt,500,6
87,402,2.682,1.11,1.572,fflatt,500,7
88,442,2.65,1.09,1.56,fflatt,500,8
89,402,2.682,1.11,1.572,fflatt,500,9
90,753,2.659,1.113,1.545,fflatt,750,0
91,637,2.636,1.128,1.508,fflatt,750,1
92,689,2.547,1.064,1.483,fflatt,750,2
93,706,2.557,1.021,1.536,fflatt,750,3
94,755,2.699,1.142,1.557,fflatt,750,4
95,382,2.696,1.221,1.475,fflatt,750,5
96,728,2.599,1.109,1.49,fflatt,750,6
97,655,2.696,1.215,1.481,fflatt,750,7
98,206,2.577,1.281,1.296,fflatt,750,8
99,654,2.671,1.149,1.521,fflatt,750,9
100,1292,2.738,1.118,1.62,fflatt,1000,0
101,791,2.589,1.122,1.467,fflatt,1000,1
102,1114,2.734,1.164,1.57,fflatt,1000,2
103,791,2.589,1.122,1.467,fflatt,1000,3
104,781,2.558,1.126,1.432,fflatt,1000,4
105,905,2.559,1.102,1.457,fflatt,1000,5
106,1095,2.709,1.115,1.594,fflatt,1000,6
107,955,2.669,1.132,1.537,fflatt,1000,7
108,810,2.636,1.146,1.49,fflatt,1000,8
109,905,2.559,1.102,1.457,fflatt,1000,9
110,1585,2.543,1.084,1.459,fflatt,1500,0
111,1298,2.606,1.098,1.508,fflatt,1500,1
112,1107,2.631,1.139,1.491,fflatt,1500,2
113,1414,2.687,1.1,1.587,fflatt,1500,3
114,1298,2.606,1.098,1.508,fflatt,1500,4
115,1707,2.659,1.118,1.541,fflatt,1500,5
116,1140,2.559,1.099,1.46,fflatt,1500,6
117,1140,2.559,1.099,1.46,fflatt,1500,7
118,1107,2.631,1.139,1.491,fflatt,1500,8
119,1707,2.659,1.118,1.541,fflatt,1500,9
