,ffl-nodes,sparsity,in-degree,out-degree,network,size,rep
0,375,3.462,1.641,1.821,gnw,500,0
1,759,3.554,1.735,1.819,gnw,500,1
2,1012,4.434,2.178,2.256,gnw,500,2
3,89,2.53,1.246,1.284,gnw,500,3
4,1160,4.09,1.977,2.113,gnw,500,4
5,910,4.052,1.991,2.061,gnw,500,5
6,403,3.384,1.634,1.75,gnw,500,6
7,429,3.46,1.673,1.787,gnw,500,7
8,1181,3.996,2.006,1.99,gnw,500,8
9,984,3.83,1.898,1.932,gnw,500,9
10,288,2.911,1.378,1.533,gnw,750,0
11,1320,3.452,1.683,1.769,gnw,750,1
12,924,3.137,1.522,1.615,gnw,750,2
13,1299,3.468,1.723,1.745,gnw,750,3
14,870,3.095,1.482,1.613,gnw,750,4
15,912,3.225,1.566,1.66,gnw,750,5
16,160,2.183,1.056,1.126,gnw,750,6
17,1012,3.027,1.52,1.507,gnw,750,7
18,278,2.745,1.318,1.428,gnw,750,8
19,805,3.225,1.553,1.673,gnw,750,9
20,971,3.057,1.465,1.592,gnw,1000,0
21,1027,2.886,1.388,1.498,gnw,1000,1
22,364,2.572,1.212,1.36,gnw,1000,2
23,1267,2.867,1.422,1.445,gnw,1000,3
24,867,2.876,1.374,1.502,gnw,1000,4
25,1070,3.299,1.589,1.71,gnw,1000,5
26,1072,3.023,1.458,1.565,gnw,1000,6
27,1286,3.246,1.562,1.684,gnw,1000,7
28,1162,3.164,1.526,1.638,gnw,1000,8
29,895,2.598,1.251,1.347,gnw,1000,9
30,276,2.111,1.02,1.091,gnw,1500,0
31,1136,2.604,1.245,1.359,gnw,1500,1
32,822,2.073,0.996,1.077,gnw,1500,2
33,293,2.134,1.032,1.102,gnw,1500,3
34,1524,2.829,1.357,1.472,gnw,1500,4
35,567,2.331,1.115,1.216,gnw,1500,5
36,1420,2.719,1.313,1.406,gnw,1500,6
37,286,2.118,1.024,1.094,gnw,1500,7
38,294,2.152,1.037,1.115,gnw,1500,8
39,1409,2.345,1.161,1.184,gnw,1500,9
40,202,2.898,1.331,1.567,networkx,500,0
41,272,2.898,1.348,1.55,networkx,500,1
42,215,2.898,1.316,1.582,networkx,500,2
43,111,2.898,1.353,1.545,networkx,500,3
44,208,2.898,1.343,1.555,networkx,500,4
45,258,2.898,1.346,1.552,networkx,500,5
46,244,2.898,1.367,1.531,networkx,500,6
47,184,2.898,1.408,1.49,networkx,500,7
48,143,2.898,1.287,1.611,networkx,500,8
49,216,2.898,1.336,1.562,networkx,500,9
50,164,2.899,1.339,1.559,networkx,750,0
51,206,2.899,1.36,1.538,networkx,750,1
52,164,2.899,1.356,1.543,networkx,750,2
53,187,2.899,1.348,1.551,networkx,750,3
54,240,2.899,1.366,1.533,networkx,750,4
55,326,2.899,1.365,1.534,networkx,750,5
56,160,2.899,1.348,1.551,networkx,750,6
57,185,2.899,1.361,1.538,networkx,750,7
58,213,2.899,1.29,1.608,networkx,750,8
59,217,2.899,1.352,1.547,networkx,750,9
60,181,2.898,1.323,1.575,networkx,1000,0
61,207,2.898,1.375,1.523,networkx,1000,1
62,299,2.898,1.373,1.525,networkx,1000,2
63,281,2.898,1.361,1.537,networkx,1000,3
64,264,2.898,1.335,1.563,networkx,1000,4
65,235,2.898,1.316,1.582,networkx,1000,5
66,289,2.898,1.392,1.506,networkx,1000,6
67,197,2.898,1.328,1.57,networkx,1000,7
68,337,2.898,1.377,1.521,networkx,1000,8
69,333,2.898,1.367,1.531,networkx,1000,9
70,273,2.899,1.349,1.55,networkx,1500,0
71,363,2.899,1.334,1.564,networkx,1500,1
72,301,2.899,1.355,1.543,networkx,1500,2
73,285,2.899,1.327,1.572,networkx,1500,3
74,322,2.899,1.344,1.555,networkx,1500,4
75,392,2.899,1.358,1.54,networkx,1500,5
76,290,2.899,1.319,1.58,networkx,1500,6
77,295,2.899,1.353,1.546,networkx,1500,7
78,308,2.899,1.333,1.565,networkx,1500,8
79,552,2.899,1.378,1.52,networkx,1500,9
80,397,2.804,1.208,1.596,fflatt,500,0
81,397,2.804,1.208,1.596,fflatt,500,1
82,397,2.804,1.208,1.596,fflatt,500,2
83,397,2.804,1.208,1.596,fflatt,500,3
84,397,2.804,1.208,1.596,fflatt,500,4
85,397,2.804,1.208,1.596,fflatt,500,5
86,397,2.804,1.208,1.596,fflatt,500,6
87,397,2.804,1.208,1.596,fflatt,500,7
88,397,2.804,1.208,1.596,fflatt,500,8
89,504,2.954,1.244,1.71,fflatt,500,9
90,661,2.867,1.282,1.584,fflatt,750,0
91,842,2.808,1.161,1.647,fflatt,750,1
92,842,2.808,1.161,1.647,fflatt,750,2
93,842,2.808,1.161,1.647,fflatt,750,3
94,842,2.808,1.161,1.647,fflatt,750,4
95,819,2.972,1.29,1.682,fflatt,750,5
96,842,2.808,1.161,1.647,fflatt,750,6
97,842,2.808,1.161,1.647,fflatt,750,7
98,842,2.808,1.161,1.647,fflatt,750,8
99,842,2.808,1.161,1.647,fflatt,750,9
100,1031,2.818,1.183,1.635,fflatt,1000,0
101,848,2.993,1.235,1.758,fflatt,1000,1
102,848,2.993,1.235,1.758,fflatt,1000,2
103,1031,2.818,1.183,1.635,fflatt,1000,3
104,1031,2.818,1.183,1.635,fflatt,1000,4
105,1031,2.818,1.183,1.635,fflatt,1000,5
106,1031,2.818,1.183,1.635,fflatt,1000,6
107,1031,2.818,1.183,1.635,fflatt,1000,7
108,1031,2.818,1.183,1.635,fflatt,1000,8
109,1031,2.818,1.183,1.635,fflatt,1000,9
110,1631,2.905,1.259,1.646,fflatt,1500,0
111,1631,2.905,1.259,1.646,fflatt,1500,1
112,1634,2.973,1.3,1.674,fflatt,1500,2
113,1631,2.905,1.259,1.646,fflatt,1500,3
114,1634,2.973,1.3,1.674,fflatt,1500,4
115,1634,2.973,1.3,1.674,fflatt,1500,5
116,1634,2.973,1.3,1.674,fflatt,1500,6
117,1634,2.973,1.3,1.674,fflatt,1500,7
118,1634,2.973,1.3,1.674,fflatt,1500,8
119,1631,2.905,1.259,1.646,fflatt,1500,9
